l1,l2,local_alignment,comparison_count
pl,ro,0.25205205096823463,1265
hr,pt,0.2526860035311319,1345
da,es,0.2528680208993189,1140
it,he,0.2536001412006497,1084
it,tr,0.2537343550716956,1224
fa,fr,0.2538010487442716,1045
no,da,0.25417935156537097,1121
fa,ro,0.2543884572954817,1105
ru,ro,0.2555276828178571,1182
hr,no,0.25586710352358544,1219
et,he,0.2561238557030726,1086
pl,fr,0.256412135776766,1202
sk,fr,0.2564324110242996,1245
lt,de,0.2564491056137393,568
hu,it,0.2568620438997617,1309
hu,nl,0.2570374390238269,1396
hu,fr,0.2571408424493122,1356
fa,nl,0.2574001347565762,1042
es,ro,0.2574837113618475,1345
hr,fr,0.2575100874791773,1335
sv,he,0.25796577954267275,1101
sv,pt,0.2581852622583077,1261
fi,sv,0.258733516541595,1269
sv,da,0.25894897395154404,1172
hu,pt,0.2590634036457439,1383
et,nl,0.25932385918159484,1233
hr,it,0.2594468671767095,1243
sk,ro,0.25986339919803153,1315
hr,ro,0.2598793503495207,1402
fa,sv,0.2599329870005336,985
nl,he,0.260102200696836,1156
pl,it,0.26010861190129825,1129
fa,it,0.26038225777731494,983
no,en,0.2604752619235884,1008
ru,nl,0.26053058329045886,1163
fi,pt,0.2607888776655094,1334
en,ro,0.26113441727030157,1125
et,pt,0.2619683671345535,1215
hr,da,0.2626411815263788,1184
sk,sv,0.262825805498065,1190
de,tr,0.26340911398479955,547
fa,pt,0.26368603289134634,1057
pl,nl,0.2644209931236015,1214
lv,de,0.26461386730442926,306
hu,sv,0.26488346497282605,1330
bg,ro,0.2648837093064225,1360
de,it,0.26503888029745315,530
da,de,0.26563428448231435,508
cs,no,0.2657346951497944,1116
tr,he,0.2657620696720966,1156
bg,fr,0.26607737899350387,1296
no,sv,0.26683361600467437,1205
bg,sv,0.26763433343803156,1239
sk,nl,0.26797645032634637,1270
bg,it,0.26834799920841,1202
uk,ru,0.2686938850539079,887
sk,it,0.26884278906570236,1170
el,no,0.26953769949196527,1101
ru,sv,0.26972275822825414,1110
fi,he,0.2697282164658342,1167
no,ar,0.26989701638793184,1110
bg,nl,0.2705956000401808,1303
et,tr,0.2707884510385856,1222
da,en,0.2710788238084705,984
de,fr,0.2711416669861033,550
hr,nl,0.2712634166909525,1354
pl,pt,0.27136329660223,1221
en,fr,0.2717543530405157,1087
et,en,0.2717631259525965,1031
sk,tr,0.2722970919964685,1262
pl,sv,0.2722980589208684,1159
sk,pt,0.2725392993407081,1277
fi,tr,0.27304088375883295,1326
en,he,0.27334909681099856,970
et,sk,0.27343784208986033,1184
ru,fr,0.2736098373683077,1142
pl,he,0.2736953645563531,1063
et,fa,0.2738935221933616,971
es,he,0.2739012124152259,1153
no,de,0.2739641346647863,519
es,tr,0.27403240225800174,1305
nl,es,0.27413448497818693,1301
sk,he,0.27430009167038516,1106
fr,ar,0.27444735524449776,1223
bg,pt,0.2749511843470166,1312
hr,he,0.27498260566885546,1181
pl,tr,0.2750929275613525,1198
cs,ro,0.27560866316383315,1278
el,da,0.27612749837980816,1072
cs,da,0.276260111152624,1089
hu,fa,0.27661118966049875,1077
fi,fa,0.2766560262948167,1044
el,ro,0.27674012752548416,1258
en,it,0.27711049419149153,1029
da,ar,0.2771634493521045,1079
it,ar,0.27807314576785747,1166
de,he,0.2781929888539309,511
ru,it,0.27855100613502126,1091
bg,he,0.2787726722197195,1144
hr,en,0.2790134237868683,1111
en,tr,0.27932069457405784,1091
ro,ar,0.2794439362691799,1258
hr,sv,0.27946095438055124,1287
ru,pt,0.27978588803248805,1159
bg,tr,0.27981661507345085,1292
hu,he,0.27987056520443643,1232
ru,he,0.27991151223533317,1035
de,ar,0.2802900964763511,549
cs,fr,0.28054181716626575,1209
de,pt,0.28057880435687116,579
hr,es,0.2806743728724488,1331
et,es,0.2808363240341508,1212
en,pt,0.2809599431746322,1114
hu,tr,0.28105345208451427,1382
fi,bg,0.2811212351879703,1315
sk,en,0.28124024971801787,1052
et,hu,0.2814379841246165,1320
fi,sk,0.2817392116277768,1265
fr,es,0.2822146203364204,1326
hr,tr,0.2832711021527378,1335
fa,de,0.28365797484443966,348
fa,he,0.2844863159150532,915
el,it,0.2847537286487359,1153
fi,es,0.2856641672443768,1320
hr,de,0.28590484967051616,576
sv,es,0.2859314105043714,1244
el,fr,0.28659632604572455,1213
cs,nl,0.2867001179026724,1234
fi,hu,0.2867639842867548,1415
et,hr,0.2868639005888177,1248
et,bg,0.28713562179597835,1219
sv,en,0.2872630247322567,1057
sv,ar,0.28737424090846236,1171
es,it,0.2874012837372747,1264
nl,ar,0.28742029439013383,1225
