,l1,l2,local_alignment,comparison_count
647,sv,av,0.15776506775177096,417
648,cv,ar,0.15778911270039406,327
649,ps,tt,0.15782228526725522,681
650,kv,no,0.15796961675340662,353
651,is,av,0.15808393898550124,387
652,ps,ba,0.15813362216127122,659
653,hy,ce,0.15823518494466202,718
654,sv,ce,0.15879953241136466,777
655,sah,ka,0.15905565744631397,735
656,mrj,lv,0.1594562762715832,446
657,uz,cv,0.1597451472260479,164
658,is,mn,0.16026161029892058,1005
659,lv,sah,0.16027280150097176,670
660,lv,os,0.16033765398561847,376
661,ga,ml,0.16056723598553094,719
662,no,sah,0.1609340659116475,729
663,bn,cv,0.1609596704549556,225
664,mhr,ku,0.1609602374434764,118
665,cy,he,0.16105376659798562,961
666,myv,el,0.1612499708176045,499
667,mhr,ko,0.16127106481813872,132
668,ku,is,0.16129559313489344,666
669,myv,it,0.16132715441623566,496
670,da,sah,0.16152214301217793,704
671,myv,sk,0.1615617489497206,528
672,la,te,0.1616581443231817,650
673,sah,ar,0.16173184412704633,736
674,no,av,0.16177781549630485,401
675,ba,av,0.16188571996730508,380
676,la,uz,0.16195892722829783,482
677,vep,he,0.16224741108098908,385
678,tt,zh,0.16238344268263602,849
679,ko,zh,0.16239904722833273,703
680,sv,cv,0.1624011206393298,338
681,fi,myv,0.16259263971548607,534
682,mrj,pt,0.16273542829789692,545
683,az,lez,0.16283630290507192,501
684,mrj,ar,0.16318296723571243,503
685,ga,uz,0.1632287952105286,515
686,he,zh,0.16324755556218196,929
687,myv,uk,0.1633728114589795,480
688,kk,cv,0.16349115927999336,337
689,os,sq,0.1636818266210481,400
690,bn,ja,0.1637207578511433,589
691,mrj,sq,0.1639933052589115,493
692,sq,lez,0.16452793336111168,526
693,mn,he,0.16454958916599977,1036
694,mhr,no,0.16455840118906134,144
695,myv,hu,0.16459071908041428,534
696,ru,ce,0.16461250268913702,723
697,hy,sah,0.16463296538612443,705
698,os,te,0.1646918290203874,300
699,sq,la,0.1647816705243555,900
700,kv,sv,0.16493289875597764,373
701,vep,is,0.16495196917132054,395
702,lez,ar,0.16500774549151995,548
703,el,sah,0.16520042649300584,717
704,sv,sah,0.1652027448785153,760
705,be,sah,0.1652091379289706,702
706,ga,kk,0.1652660534721184,990
707,vep,kv,0.1652697726812772,202
708,eu,av,0.1652939490500414,428
709,os,la,0.16534747856083137,394
710,vep,tt,0.16535453579306852,393
711,tt,he,0.16540031698591698,899
712,la,av,0.16544474981993162,389
713,de,ab,0.16548636843460218,68
714,is,he,0.1655039006911082,952
715,pl,ce,0.16561222593150046,731
716,en,sah,0.16562799610575535,673
717,av,ar,0.16565772978627563,416
718,kk,ce,0.16568804348527116,767
719,cy,kn,0.16573438547368285,713
720,da,av,0.16575398057635066,396
721,uz,zh,0.16578032261854858,457
722,mrj,nl,0.16594674186784977,561
723,tt,ko,0.16596021282642906,715
724,mrj,ba,0.1659955005011051,477
725,da,cv,0.16600565528487085,311
726,hy,lez,0.16615975567120894,540
727,lv,ce,0.16619937176034663,608
728,udm,eu,0.1662193726576502,522
729,is,tt,0.16626342825088883,876
730,el,lez,0.16629801465726238,509
731,br,he,0.16634917547376252,726
732,kv,ro,0.166411071988977,404
733,myv,lt,0.16642343858455616,525
734,ro,av,0.16656311039760596,457
735,sq,cv,0.16659250729568842,303
736,la,ta,0.16661032516782304,687
737,vep,ba,0.16674853672437023,373
