,Unnamed: 0,l1,l2,numColexified,numMatchingColexified,n_overlapConcepts,n_overlapConceptPairs,l1_iso2,l2_iso2
981,981,stan1290,mala1464,17,451552,951,451725,fr,ml
982,982,stan1290,nucl1302,11,451544,951,451725,fr,ka
983,983,stan1290,abkh1244,24,432668,931,432915,fr,ab
984,984,stan1290,hebr1245,23,451546,951,451725,fr,he
985,985,stan1290,mand1415,16,446756,946,446985,fr,zh
986,986,stan1288,stan1289,54,451626,951,451725,es,ca
987,987,stan1288,port1283,60,451614,951,451725,es,pt
988,988,stan1288,roma1327,44,451566,951,451725,es,ro
989,989,stan1288,iris1253,28,449539,949,449826,es,ga
990,990,stan1288,wels1247,26,451524,951,451725,es,cy
991,991,stan1288,bret1244,33,438332,937,438516,es,br
992,992,stan1288,dani1285,17,450608,950,450775,es,da
993,993,stan1288,swed1254,17,451569,951,451725,es,sv
994,994,stan1288,stan1293,10,451547,951,451725,es,en
995,995,stan1288,dutc1256,19,451558,951,451725,es,nl
996,996,stan1288,stan1295,13,451592,951,451725,es,de
997,997,stan1288,lith1251,28,451562,951,451725,es,lt
998,998,stan1288,latv1249,23,451589,951,451725,es,lv
999,999,stan1288,bulg1262,33,449669,949,449826,es,bg
1000,1000,stan1288,czec1258,22,451591,951,451725,es,cs
1001,1001,stan1288,poli1260,27,451580,951,451725,es,pl
1002,1002,stan1288,russ1263,15,451596,951,451725,es,ru
1003,1003,stan1288,west2369,28,451540,951,451725,es,fa
1004,1004,stan1288,basq1248,35,451540,951,451725,es,eu
1005,1005,stan1288,beng1280,14,451538,951,451725,es,bn
1006,1006,stan1288,tami1289,16,451576,951,451725,es,ta
1007,1007,stan1288,telu1262,21,451482,951,451725,es,te
1008,1008,stan1288,veps1250,27,451553,951,451725,es,vep
1009,1009,stan1288,west2392,26,447729,947,447931,es,mrj
1010,1010,stan1288,moks1248,25,450566,950,450775,es,mdf
1011,1011,stan1288,nort2641,16,451518,951,451725,es,ku
1012,1012,stan1288,nucl1235,11,450633,950,450775,es,hy
1013,1013,stan1288,croa1245,17,450633,950,450775,es,hr
1014,1014,stan1288,slov1268,8,450649,950,450775,es,sl
1015,1015,stan1288,slov1269,23,451593,951,451725,es,sk
1016,1016,stan1288,ukra1253,9,451605,951,451725,es,uk
1017,1017,stan1288,bela1254,11,451607,951,451725,es,be
