Longitude,Latitude,Time,Precipitation
123.75E,83.75S,Jan 1960,8.843186
126.25E,83.75S,Jan 1960,9.205338
128.75E,83.75S,Jan 1960,9.447536
131.25E,83.75S,Jan 1960,9.480747
133.75E,83.75S,Jan 1960,9.43362
136.25E,83.75S,Jan 1960,9.471097
138.75E,83.75S,Jan 1960,9.546162
141.25E,83.75S,Jan 1960,9.74983
143.75E,83.75S,Jan 1960,10.3448
146.25E,83.75S,Jan 1960,10.98267
148.75E,83.75S,Jan 1960,11.21967
151.25E,83.75S,Jan 1960,11.25506
153.75E,83.75S,Jan 1960,11.21418
156.25E,83.75S,Jan 1960,11.22403
158.75E,83.75S,Jan 1960,11.4076
161.25E,83.75S,Jan 1960,11.63402
163.75E,83.75S,Jan 1960,11.87922
166.25E,83.75S,Jan 1960,11.9713
168.75E,83.75S,Jan 1960,12.21314
171.25E,83.75S,Jan 1960,13.14968
173.75E,83.75S,Jan 1960,14.18052
176.25E,83.75S,Jan 1960,14.63549
178.75E,83.75S,Jan 1960,14.56809
178.75W,83.75S,Jan 1960,14.2963
176.25W,83.75S,Jan 1960,14.17188
173.75W,83.75S,Jan 1960,14.27252
171.25W,83.75S,Jan 1960,14.45608
168.75W,83.75S,Jan 1960,14.50689
166.25W,83.75S,Jan 1960,14.0844
163.75W,83.75S,Jan 1960,13.55581
161.25W,83.75S,Jan 1960,14.01213
158.75W,83.75S,Jan 1960,15.14123
156.25W,83.75S,Jan 1960,15.92414
153.75W,83.75S,Jan 1960,16.23451
151.25W,83.75S,Jan 1960,16.27596
148.75W,83.75S,Jan 1960,16.41471
146.25W,83.75S,Jan 1960,16.66425
143.75W,83.75S,Jan 1960,16.8036
141.25W,83.75S,Jan 1960,16.94422
138.75W,83.75S,Jan 1960,17.04359
136.25W,83.75S,Jan 1960,16.9147
133.75W,83.75S,Jan 1960,16.67016
131.25W,83.75S,Jan 1960,16.65881
128.75W,83.75S,Jan 1960,16.89161
126.25W,83.75S,Jan 1960,16.91402
123.75W,83.75S,Jan 1960,16.60119
121.25W,83.75S,Jan 1960,16.19215
118.75W,83.75S,Jan 1960,15.95442
116.25W,83.75S,Jan 1960,16.13233
113.75W,83.75S,Jan 1960,16.50871
111.25W,83.75S,Jan 1960,16.63572
108.75W,83.75S,Jan 1960,16.50722
106.25W,83.75S,Jan 1960,16.39355
103.75W,83.75S,Jan 1960,16.26131
101.25W,83.75S,Jan 1960,16.02281
98.75W,83.75S,Jan 1960,15.83638
96.25W,83.75S,Jan 1960,15.73206
93.75W,83.75S,Jan 1960,15.47809
91.25W,83.75S,Jan 1960,14.9492
88.75W,83.75S,Jan 1960,14.52737
86.25W,83.75S,Jan 1960,14.47626
83.75W,83.75S,Jan 1960,14.63955
81.25W,83.75S,Jan 1960,14.91296
78.75W,83.75S,Jan 1960,15.15077
76.25W,83.75S,Jan 1960,15.41308
73.75W,83.75S,Jan 1960,15.81285
71.25W,83.75S,Jan 1960,16.22039
68.75W,83.75S,Jan 1960,16.6343
66.25W,83.75S,Jan 1960,17.11954
63.75W,83.75S,Jan 1960,17.68172
61.25W,83.75S,Jan 1960,18.27041
58.75W,83.75S,Jan 1960,18.6825
56.25W,83.75S,Jan 1960,18.72637
53.75W,83.75S,Jan 1960,18.59317
51.25W,83.75S,Jan 1960,18.5067
48.75W,83.75S,Jan 1960,18.32161
46.25W,83.75S,Jan 1960,18.01006
43.75W,83.75S,Jan 1960,17.62542
41.25W,83.75S,Jan 1960,17.16795
38.75W,83.75S,Jan 1960,16.86399
36.25W,83.75S,Jan 1960,16.7263
33.75W,83.75S,Jan 1960,16.49623
31.25W,83.75S,Jan 1960,16.20921
