,l1,l2,Word_Form_l1,Word_Form_l2,local_alignment,global_alignment,neighbour_overlap,global_density_l1,global_density_l2,local_density_l1,local_density_l2,editdistance,k,n,Language_ID_l1,Glottocode_l1,Concept_ID,rawIPA_l1,IPA_l1,ASJP_l1,List_l1,Dolgo_l1,Next_Step_l1,IDS_SEMANTICFIELD_l1,Language_Family_l1,zipffreq_l1,Language_ID_l2,Glottocode_l2,rawIPA_l2,IPA_l2,ASJP_l2,List_l2,Dolgo_l2,Next_Step_l2,IDS_SEMANTICFIELD_l2,Language_Family_l2,zipffreq_l2
16632,sk,en,jazero,lake,0.6392624258424356,0.9128554552750144,37.0,0.1372113874071279,0.1439271877209027,2822.438238964621,2960.582251418969,4,100,20570,slk,slov1269,See::N,jazɛrɔ,j a z ɛ r ɔ,yazEro,JASERU,JVSVRV,validate,The physical world,Indo-European,,eng,stan1293,leɪk,l e ɪ k,leik,LEIK,RVK,validate,The physical world,Indo-European,4.74
16647,sk,en,ľad,ice,0.6931896184329489,0.9170334186386776,28.0,0.14510854569502954,0.15065878260320106,2984.882784946758,3099.051158147846,3,100,20570,slk,slov1269,Eis::N,ʎat,ʎ a t,lat,LAT,RVT,validate,The physical world,Indo-European,,eng,stan1293,aɪs,a ɪ s,ais,AIS,VS,validate,The physical world,Indo-European,4.96
16755,en,he,frost,צנה,0.0470003607820714,0.8316157237813577,0.0,0.17147984121718005,0.1298103324385938,3518.937821617752,2663.8378319723834,5,100,20521,eng,stan1293,Frost::N,fɹɒst,f ɹ ɒ s t,frost,BROST,PRVST,validate,Sense perception,Indo-European,3.97,heb,hebr1245,t͡sina,t͡s i n a,cina,CINA,KVNV,validate,Sense perception,Afro-Asiatic,0.0
16842,en,he,hill,תל,0.10352768034739994,0.8829876533049948,1.0,0.15948548155596035,0.1447237726354182,3272.801567009862,2969.876538251417,4,100,20521,eng,stan1293,Hügel::N,hɪl,h ɪ l,hil,HIL,HVR,validate,The physical world,Indo-European,4.82,heb,hebr1245,tɛl,t ɛ l,tEl,TEL,TVR,validate,The physical world,Afro-Asiatic,5.51
17200,en,he,coast,חוף,0.29028859775169946,0.9237718071786758,34.0,0.15249309748897816,0.14393786533333228,3129.310853571321,2953.748934505312,5,100,20521,eng,stan1293,Küste::N,kəʊst,k ə ʊ s t,k3ust,KEYST,KVST,validate,The physical world,Indo-European,4.86,heb,hebr1245,χof,χ o f,Gof,GUB,KVP,validate,The physical world,Afro-Asiatic,4.88
17314,en,he,lake,אגם,0.3488272196778036,0.9168208453241776,38.0,0.14573975846839302,0.1351570209639288,2990.7255835298934,2773.5572272007826,4,100,20521,eng,stan1293,See::N,leɪk,l e ɪ k,leik,LEIK,RVK,validate,The physical world,Indo-European,4.74,heb,hebr1245,aɡam,a ɡ a m,agam,AKAM,VKVM,validate,The physical world,Afro-Asiatic,4.25
17325,en,he,snow,שלג,0.35417150111744233,0.9257291198276,48.0,0.16215993986858718,0.14553385875457814,3327.684126043277,2986.500315502698,4,100,20521,eng,stan1293,Schnee::N,snəʊ,s n ə ʊ,sn3u,SNEY,SNV,validate,The physical world,Indo-European,4.68,heb,hebr1245,ʃɛlɛɡ,ʃ ɛ l ɛ ɡ,SElEg,SELEK,SVRVK,validate,The physical world,Afro-Asiatic,4.64
17408,en,he,mountain,הר,0.4139343375523382,0.9117231789263888,34.0,0.14801886279594104,0.1310913774755411,3037.495083435506,2690.1261571755786,8,100,20521,eng,stan1293,Berg::N,ˈmaʊntɪn,m a ʊ n t ɪ n,mauntin,MAYNTIN,MVNTVN,validate,The physical world,Indo-European,4.72,heb,hebr1245,haʁ,h a ʁ,haG,HAR,HVR,validate,The physical world,Afro-Asiatic,5.2
17487,en,he,sea,ים,0.4631924817337585,0.9121675140772044,36.0,0.15114064010672154,0.13117084636641124,3101.557075630033,2691.756938285125,3,100,20521,eng,stan1293,Meer::N,siː,s i i,si,SI,SV,validate,The physical world,Indo-European,5.09,heb,hebr1245,jam,j a m,yam,JAM,JVM,validate,The physical world,Afro-Asiatic,5.53
17489,en,he,fog,ערפל,0.4658524109236162,0.9296806751983172,37.0,0.1669762460681031,0.14929889924183748,3426.5195455635435,3063.762711341747,4,100,20521,eng,stan1293,Nebel::N,fɒɡ,f ɒ ɡ,fog,BOK,PVK,validate,The physical world,Indo-European,3.89,heb,hebr1245,aʁafɛl,a ʁ a f ɛ l,aGafEl,ARABEL,VRVPVR,validate,The physical world,Afro-Asiatic,3.85
17498,en,he,west,מערב,0.47306642119808295,0.9191113800096864,35.0,0.1546077305705588,0.1446989849194968,3172.705239038437,2969.3678695329936,4,100,20521,eng,stan1293,Westen::N,west,w e s t,west,WEST,WVST,validate,Spatial relations,Indo-European,5.29,heb,hebr1245,maʔaʁav,m a ʔ a ʁ a v,ma7aGav,MAHARAB,MVHVRVW,validate,Spatial relations,Afro-Asiatic,5.03
17510,en,he,ice,קרח,0.4852880123010227,0.9214354273791904,39.0,0.15043516325324094,0.12868734395047515,3087.0799851197576,2640.7929852077004,3,100,20521,eng,stan1293,Eis::N,aɪs,a ɪ s,ais,AIS,VS,validate,The physical world,Indo-European,4.96,heb,hebr1245,kɛʁaχ,k ɛ ʁ a χ,kEGaG,KERAG,KVRVK,validate,The physical world,Afro-Asiatic,4.73
17545,en,he,east,מזרח,0.5128970341430296,0.9198259238347622,34.0,0.15200098260927206,0.1386969145271897,3119.212164124872,2846.19938301246,4,100,20521,eng,stan1293,Osten::N,iːst,i i s t,ist,IST,VST,validate,Spatial relations,Indo-European,5.18,heb,hebr1245,mizʁaχ,m i z ʁ a χ,mizGaG,MISRAG,MVSRVK,validate,Spatial relations,Afro-Asiatic,5.18
17570,en,he,south,דרום,0.5355030665399552,0.9245351062326792,36.0,0.1518521621049391,0.1406317898953254,3116.1582185554553,2885.9049604419733,5,100,20521,eng,stan1293,Süden::N,saʊθ,s a ʊ θ,sau8,SAYD,SVT,validate,Spatial relations,Indo-European,5.4,heb,hebr1245,daʁom,d a ʁ o m,daGom,TARUM,TVRVM,validate,Spatial relations,Afro-Asiatic,4.96
17571,en,he,rain,גשם,0.5361828579221398,0.9249012642476931,39.0,0.16247742704601684,0.14630724856521216,3334.1992804113115,3002.3710478067187,4,100,20521,eng,stan1293,Regen::N,ɹeɪn,ɹ e ɪ n,rein,REIN,RVN,validate,The physical world,Indo-European,4.71,heb,hebr1245,ɡɛʃɛm,ɡ ɛ ʃ ɛ m,gESEm,KESEM,KVSVM,validate,The physical world,Afro-Asiatic,4.82
17605,en,he,north,צפון,0.5932274759733978,0.9222189803999848,29.0,0.15398129586138348,0.1405772536145952,3159.8501723714503,2884.785821425108,5,100,20521,eng,stan1293,Norden::N,nɔːθ,n ɔ ɔ θ,no8,NUD,NVT,validate,Spatial relations,Indo-European,5.35,heb,hebr1245,t͡safon,t͡s a f o n,cafon,CABUN,KVPVN,validate,Spatial relations,Afro-Asiatic,4.99
17667,en,pt,east,este,0.009467754972656062,0.8678011553587714,0.0,0.15455354198237078,0.1924243662735915,3170.202253142389,3947.0086010039095,2,100,20512,eng,stan1293,Osten::N,iːst,i i s t,ist,IST,VST,validate,Spatial relations,Indo-European,5.18,por,port1283,ˈeʃtə,e ʃ t ə,eSt3,ESTE,VSTV,validate,Spatial relations,Indo-European,6.08
17981,en,pt,frost,gelo,0.22448602363881653,0.8981288248481374,21.0,0.16343934728618145,0.15062023731415528,3352.467891534153,3089.5223077879527,5,100,20512,eng,stan1293,Frost::N,fɹɒst,f ɹ ɒ s t,frost,BROST,PRVST,validate,Sense perception,Indo-European,3.97,por,port1283,ˈʒelu,ʒ e l u,Zelu,SELY,SVRV,validate,Sense perception,Indo-European,4.58
18105,en,pt,lake,lago,0.2851023980669757,0.9331452501875258,34.0,0.14387645651706607,0.1351086173905326,2951.1938760780595,2771.3479599146044,2,100,20512,eng,stan1293,See::N,leɪk,l e ɪ k,leik,LEIK,RVK,validate,The physical world,Indo-European,4.74,por,port1283,ˈlaɣu,l a ɣ u,laxu,LAGY,RVKV,validate,The physical world,Indo-European,4.43
18310,en,pt,east,oriente,0.3697431196983632,0.9077311107741238,14.0,0.15455354198237078,0.1658304008082893,3170.202253142389,3401.51318137963,6,100,20512,eng,stan1293,Osten::N,iːst,i i s t,ist,IST,VST,validate,Spatial relations,Indo-European,5.18,por,port1283,orjente,o r j e n t e,oryente,URJENTE,VRJVNTV,validate,Spatial relations,Indo-European,4.62
18312,en,pt,coast,costa,0.3704590584425814,0.9333439041316528,50.0,0.15303445695429133,0.14372972869814007,3139.042781046424,2948.184195056249,2,100,20512,eng,stan1293,Küste::N,kəʊst,k ə ʊ s t,k3ust,KEYST,KVST,validate,The physical world,Indo-European,4.86,por,port1283,ˈkɔʃtɐ,k ɔ ʃ t ɐ,koSta,KUSTE,KVSTV,validate,The physical world,Indo-European,5.1
18320,en,pt,frost,geada,0.37241737707104544,0.9046923703321579,28.0,0.16343934728618145,0.15417221327562405,3352.467891534153,3162.3804387096,5,100,20512,eng,stan1293,Frost::N,fɹɒst,f ɹ ɒ s t,frost,BROST,PRVST,validate,Sense perception,Indo-European,3.97,por,port1283,ˈʒjaðɐ,ʒ j a ð ɐ,Zya8a,SJADE,SJVTV,validate,Sense perception,Indo-European,2.6
18321,en,pt,mountain,monte,0.3724724973568298,0.9148451866442048,34.0,0.14739191988111305,0.12809353263358894,3023.303060601391,2627.454541380177,4,100,20512,eng,stan1293,Berg::N,ˈmaʊntɪn,m a ʊ n t ɪ n,mauntin,MAYNTIN,MVNTVN,validate,The physical world,Indo-European,4.72,por,port1283,ˈmõtə,m õ t ə,mot3,MUTE,MVTV,validate,The physical world,Indo-European,5.03
18362,en,pt,sea,mar,0.3919233430014464,0.9399183051631071,45.0,0.14947658470177164,0.14777664683949546,3066.0637054027397,3031.194579971731,3,100,20512,eng,stan1293,Meer::N,siː,s i i,si,SI,SV,validate,The physical world,Indo-European,5.09,por,port1283,mar,m a r,mar,MAR,MVR,validate,The physical world,Indo-European,5.09
18387,en,pt,south,sul,0.3998942470482527,0.9418552110729724,45.0,0.15447322585334775,0.15251389533014112,3168.554808703869,3128.365021011855,3,100,20512,eng,stan1293,Süden::N,saʊθ,s a ʊ θ,sau8,SAYD,SVT,validate,Spatial relations,Indo-European,5.4,por,port1283,suɫ,s u ɫ,suL,SYL,SVR,validate,Spatial relations,Indo-European,5.5
18405,en,pt,mountain,montanha,0.40910874433701583,0.93781027152467,50.0,0.14739191988111305,0.14768438129860356,3023.303060601391,3029.302029196956,4,100,20512,eng,stan1293,Berg::N,ˈmaʊntɪn,m a ʊ n t ɪ n,mauntin,MAYNTIN,MVNTVN,validate,The physical world,Indo-European,4.72,por,port1283,mõˈtɐɲɐ,m õ t ɐ ɲ ɐ,mota5a,MUTENE,MVTVNV,validate,The physical world,Indo-European,4.48
18409,en,pt,rain,chover,0.4100144331124437,0.9230271074042364,16.0,0.15856445851126627,0.1823309723711328,3252.474172983094,3739.9729052766747,6,100,20512,eng,stan1293,regnen::V,ɹeɪn,ɹ e ɪ n,rein,REIN,RVN,validate,The physical world,Indo-European,4.71,por,port1283,ʃuˈver,ʃ u v e r,Suver,SYBER,SVWVR,validate,The physical world,Indo-European,3.87
18442,en,pt,ice,gelo,0.42426788046572894,0.9400216513557684,47.0,0.14816370213630586,0.15062023731415528,3039.1338582199046,3089.5223077879527,4,100,20512,eng,stan1293,Eis::N,aɪs,a ɪ s,ais,AIS,VS,validate,The physical world,Indo-European,4.96,por,port1283,ˈʒelu,ʒ e l u,Zelu,SELY,SVRV,validate,The physical world,Indo-European,4.58
18451,en,pt,east,leste,0.4302281828206894,0.9326411890968296,43.0,0.15455354198237078,0.15303523513774606,3170.202253142389,3139.058743145447,3,100,20512,eng,stan1293,Osten::N,iːst,i i s t,ist,IST,VST,validate,Spatial relations,Indo-European,5.18,por,port1283,ˈlɛʃtə,l ɛ ʃ t ə,lESt3,LESTE,RVSTV,validate,Spatial relations,Indo-European,5.01
18481,en,pt,west,oeste,0.4471004950753024,0.9294621090606664,37.0,0.15549727718699102,0.15325875802097322,3189.56014965956,3143.6436445262025,2,100,20512,eng,stan1293,Westen::N,west,w e s t,west,WEST,WVST,validate,Spatial relations,Indo-European,5.29,por,port1283,ˈwɛʃtə,w ɛ ʃ t ə,wESt3,WESTE,WVSTV,validate,Spatial relations,Indo-European,4.72
18515,en,pt,snow,neve,0.4646908238313523,0.9429078318207752,50.0,0.15664663605695178,0.16190927676364905,3213.1357988001946,3321.083084975969,4,100,20512,eng,stan1293,Schnee::N,snəʊ,s n ə ʊ,sn3u,SNEY,SNV,validate,The physical world,Indo-European,4.68,por,port1283,ˈnɛvə,n ɛ v ə,nEv3,NEBE,NVWV,validate,The physical world,Indo-European,4.31
18521,en,pt,north,norte,0.4667755525745229,0.9428002104105904,41.0,0.15621494582504142,0.15680301794839274,3204.2809687632507,3216.343504157433,1,100,20512,eng,stan1293,Norden::N,nɔːθ,n ɔ ɔ θ,no8,NUD,NVT,validate,Spatial relations,Indo-European,5.35,por,port1283,ˈnɔrtə,n ɔ r t ə,nort3,NURTE,NVRTV,validate,Spatial relations,Indo-European,5.42
18557,en,pt,hill,colina,0.4887973224577171,0.9127524449252296,25.0,0.15544248215211526,0.15502966030107998,3188.4361939041883,3179.968392095753,5,100,20512,eng,stan1293,Hügel::N,hɪl,h ɪ l,hil,HIL,HVR,validate,The physical world,Indo-European,4.82,por,port1283,kuˈlinɐ,k u l i n ɐ,kulina,KYLINE,KVRVNV,validate,The physical world,Indo-European,3.85
18583,en,pt,rain,chuva,0.5049484794838771,0.9400249257850436,49.0,0.15856445851126627,0.16437212180138824,3252.474172983094,3371.6009623900763,5,100,20512,eng,stan1293,Regen::N,ɹeɪn,ɹ e ɪ n,rein,REIN,RVN,validate,The physical world,Indo-European,4.71,por,port1283,ˈʃuvɐ,ʃ u v ɐ,Suva,SYBE,SVWV,validate,The physical world,Indo-European,4.76
18637,en,pt,fog,nevoeiro,0.5384004075245543,0.9420130817491869,35.0,0.16193561060910364,0.16893190199913027,3321.623244813933,3465.1311738061604,7,100,20512,eng,stan1293,Nebel::N,fɒɡ,f ɒ ɡ,fog,BOK,PVK,validate,The physical world,Indo-European,3.89,por,port1283,nəˈvwejru,n ə v w e j r u,n3vweyru,NEBWEJRY,NVWWVJRV,validate,The physical world,Indo-European,3.31
18641,en,pt,west,ocidente,0.5419212650607422,0.8788266626356706,5.0,0.15549727718699102,0.1742021504694052,3189.56014965956,3573.2345104284395,6,100,20512,eng,stan1293,Westen::N,west,w e s t,west,WEST,WVST,validate,Spatial relations,Indo-European,5.29,por,port1283,osiðẽte,o s i ð ẽ t e,osi8ete,USIDETE,VSVTVTV,validate,Spatial relations,Indo-European,4.36
18771,sl,en,gôra,mountain,0.18596315896270324,0.9093835478558804,4.0,0.22113999739874168,0.1494945201044072,4438.058607795346,3000.205523975348,7,100,20069,slv,slov1268,Berg::N,ɡo˦ːra,ɡ o o r a,gora,KU1RA,KV1RV,validate,The physical world,Indo-European,,eng,stan1293,ˈmaʊntɪn,m a ʊ n t ɪ n,mauntin,MAYNTIN,MVNTVN,validate,The physical world,Indo-European,4.72
18791,sl,en,mórje,sea,0.3002140235383709,0.912793408432469,13.0,0.19727024086453707,0.1513525099516361,3959.016463910394,3037.493522219385,5,100,20069,slv,slov1268,Meer::N,mɔ˨ːrɛ,m ɔ ɔ r ɛ,morE,MU5RE,MV1RV,validate,The physical world,Indo-European,,eng,stan1293,siː,s i i,si,SI,SV,validate,The physical world,Indo-European,5.09
18811,sl,en,jézero,lake,0.6057173639668367,0.9101202187975188,20.0,0.1835234145859589,0.14636975085822304,3683.131407325608,2937.494529973677,5,100,20069,slv,slov1268,See::N,jɛ˨ːzɛrɔ,j ɛ ɛ z ɛ r ɔ,yEzEro,JE5SERU,JV1SVRV,validate,The physical world,Indo-European,,eng,stan1293,leɪk,l e ɪ k,leik,LEIK,RVK,validate,The physical world,Indo-European,4.74
19077,lv,en,līt,rain,0.1874791019036828,0.861696343194125,2.0,0.15630400831434466,0.1564710877774704,3212.203674868097,3215.6373249147937,4,100,20551,lav,latv1249,regnen::V,liːt,l i i t,lit,LIT,RVT,validate,The physical world,Indo-European,,eng,stan1293,ɹeɪn,ɹ e ɪ n,rein,REIN,RVN,validate,The physical world,Indo-European,4.71
19082,lv,en,ты,lake,0.18944052438654405,0.8477663941453033,3.0,0.20604896889395105,0.1444536638083951,4234.512359739587,2968.6672449263287,4,100,20551,kpv,komi1268,See::N,tɨ,t ɨ,t3,TI,TV,validate,The physical world,Indo-European,,eng,stan1293,leɪk,l e ɪ k,leik,LEIK,RVK,validate,The physical world,Indo-European,4.74
19104,lv,en,ру,fog,0.2014238518573281,0.7785716283865343,1.0,0.1608451783839359,0.16428822157969605,3305.5292609682665,3376.287241684333,3,100,20551,kpv,komi1268,Nebel::N,ru,r u,ru,RY,RV,validate,The physical world,Indo-European,,eng,stan1293,fɒɡ,f ɒ ɡ,fog,BOK,PVK,validate,The physical world,Indo-European,3.89
19212,lv,en,paugurs,hill,0.2660017471915863,0.8760613760200291,11.0,0.16835428853552914,0.1463933330591987,3459.84898369366,3008.5293876995925,7,100,20551,lav,latv1249,Hügel::N,pau̯ɡurs,p a u ɡ u r s,paugurs,PAYKYRS,PVKVRS,validate,The physical world,Indo-European,,eng,stan1293,hɪl,h ɪ l,hil,HIL,HVR,validate,The physical world,Indo-European,4.82
19302,lv,en,sals,frost,0.32085991948115,0.9129677232062112,29.0,0.1856946682079378,0.16082338690435272,3816.21112634133,3305.081424271353,4,100,20551,lav,latv1249,Frost::N,sɑls,s ɑ l s,sals,SALS,SVRS,validate,Sense perception,Indo-European,,eng,stan1293,fɹɒst,f ɹ ɒ s t,frost,BROST,PRVST,validate,Sense perception,Indo-European,3.97
19424,lv,en,lietus,rain,0.3920015274829109,0.9237284999549904,49.0,0.16269864195056344,0.1564710877774704,3343.619790726029,3215.6373249147937,6,100,20551,lav,latv1249,Regen::N,liɛ̯tus,l i ɛ t u s,liEtus,LIETYS,RVTVS,validate,The physical world,Indo-European,,eng,stan1293,ɹeɪn,ɹ e ɪ n,rein,REIN,RVN,validate,The physical world,Indo-European,4.71
19494,lv,en,ezers,lake,0.4328909763641843,0.9133973946482098,29.0,0.14996118685639054,0.1444536638083951,3081.8523510856817,2968.6672449263287,5,100,20551,lav,latv1249,See::N,ɛzɛrs,ɛ z ɛ r s,EzErs,ESERS,VSVRS,validate,The physical world,Indo-European,,eng,stan1293,leɪk,l e ɪ k,leik,LEIK,RVK,validate,The physical world,Indo-European,4.74
19510,lv,en,kalns,mountain,0.4429536992014513,0.9006907887960598,35.0,0.14406566238011578,0.14638941869660274,2960.6934275737603,3008.448943633883,7,100,20551,lav,latv1249,Berg::N,kɑlns,k ɑ l n s,kalns,KALNS,KVRNS,validate,The physical world,Indo-European,,eng,stan1293,ˈmaʊntɪn,m a ʊ n t ɪ n,mauntin,MAYNTIN,MVNTVN,validate,The physical world,Indo-European,4.72
19563,lv,en,migla,fog,0.4785937530599519,0.9195670472041676,44.0,0.17502116637581966,0.16428822157969605,3596.859990189469,3376.287241684333,4,100,20551,lav,latv1249,Nebel::N,miɡlɑ,m i ɡ l ɑ,migla,MIKLA,MVKRV,validate,The physical world,Indo-European,,eng,stan1293,fɒɡ,f ɒ ɡ,fog,BOK,PVK,validate,The physical world,Indo-European,3.89
19615,lv,en,jūra,sea,0.5114167896221736,0.9173363901050428,49.0,0.16280086688168174,0.15324946711386386,3345.720615285442,3149.4297986570173,3,100,20551,lav,latv1249,Meer::N,juːrɑ,j u u r ɑ,yura,JYRA,JVRV,validate,The physical world,Indo-European,,eng,stan1293,siː,s i i,si,SI,SV,validate,The physical world,Indo-European,5.09
19617,lv,en,ledus,ice,0.5147381484118123,0.9211047221441204,24.0,0.14483199708908942,0.15143522900392675,2976.442372177877,3112.1453912596985,5,100,20551,lav,latv1249,Eis::N,lædus,l æ d u s,lEdus,LETYS,RVTVS,validate,The physical world,Indo-European,,eng,stan1293,aɪs,a ɪ s,ais,AIS,VS,validate,The physical world,Indo-European,4.96
19643,lv,en,piekraste,coast,0.5367418153808563,0.9226573139534604,49.0,0.1771426673790206,0.15069085389535722,3640.4589573062517,3096.8477384034863,6,100,20551,lav,latv1249,Küste::N,piɛ̯ɡrɑstɛ,p i ɛ ɡ r ɑ s t ɛ,piEgrastE,PIEKRASTE,PVKRVSTV,validate,The physical world,Indo-European,,eng,stan1293,kəʊst,k ə ʊ s t,k3ust,KEYST,KVST,validate,The physical world,Indo-European,4.86
19693,lv,en,sniegs,snow,0.5698140680234351,0.9215810955026515,37.0,0.17095747230618075,0.155104336109095,3513.3470133643214,3187.549211378011,4,100,20551,lav,latv1249,Schnee::N,zniɛ̯ks,z n i ɛ k s,zniEks,SNIEKS,SNVKS,validate,The physical world,Indo-European,,eng,stan1293,snəʊ,s n ə ʊ,sn3u,SNEY,SNV,validate,The physical world,Indo-European,4.68
19800,lv,en,ziemeļi,north,0.6716904668478302,0.8921119816925708,31.0,0.1520449898722606,0.1509449063446679,3124.676586864827,3102.0687702892687,7,100,20551,lav,latv1249,Norden::N,ziɛ̯mɛʎi,z i ɛ m ɛ ʎ i,ziEmEli,SIEMELI,SVMVRV,validate,Spatial relations,Indo-European,,eng,stan1293,nɔːθ,n ɔ ɔ θ,no8,NUD,NVT,validate,Spatial relations,Indo-European,5.35
19818,lv,en,rietumi,west,0.7291185685422826,0.8925787765975043,22.0,0.1550060758628366,0.14963848172553773,3185.529865057156,3075.2204379415252,6,100,20551,lav,latv1249,Westen::N,riɛ̯tumi,r i ɛ t u m i,riEtumi,RIETYMI,RVTVMV,validate,Spatial relations,Indo-European,,eng,stan1293,west,w e s t,west,WEST,WVST,validate,Spatial relations,Indo-European,5.29
19821,lv,en,austrumi,east,0.7420040390585396,0.8835361123936228,24.0,0.15451119916304407,0.15208676562726162,3175.3596539997193,3125.5351204058534,6,100,20551,lav,latv1249,Osten::N,au̯sdrumi,a u s d r u m i,ausdrumi,AYSTRYMI,VSTRVMV,validate,Spatial relations,Indo-European,,eng,stan1293,iːst,i i s t,ist,IST,VST,validate,Spatial relations,Indo-European,5.18
19824,lv,en,dienvidi,south,0.7555969080096099,0.8956189331692677,23.0,0.15582862626920566,0.14876947907612295,3202.4340984584446,3057.3615644934025,8,100,20551,lav,latv1249,Süden::N,diɛ̯nvidi,d i ɛ n v i d i,diEnvidi,TIENBITI,TVNWVTV,validate,Spatial relations,Indo-European,,eng,stan1293,saʊθ,s a ʊ θ,sau8,SAYD,SVT,validate,Spatial relations,Indo-European,5.4
19935,en,ro,fog,ceață,0.06505181996771449,0.9405438079730843,38.0,0.164402137321081,0.194381690486047,3392.7669078951485,4011.454946560552,5,100,20637,eng,stan1293,Nebel::N,fɒɡ,f ɒ ɡ,fog,BOK,PVK,validate,The physical world,Indo-European,3.89,ron,roma1327,t͡ʃe̯at͡sə,t͡ʃ e a t͡s ə,Ceac3,CEACE,KVKV,validate,The physical world,Indo-European,3.9
19941,en,ro,fog,negură,0.0694545624036551,0.8741213549960661,3.0,0.164402137321081,0.16488191802308647,3392.7669078951485,3402.6681422424354,5,100,20637,eng,stan1293,Nebel::N,fɒɡ,f ɒ ɡ,fog,BOK,PVK,validate,The physical world,Indo-European,3.89,ron,roma1327,neɡurə,n e ɡ u r ə,negur3,NEKYRE,NVKVRV,validate,The physical world,Indo-European,0.0
19965,en,ro,sea,mare,0.08432428436910243,0.904875240876568,2.0,0.15184846158281132,0.17602544031740125,3133.696701684477,3632.637011830209,4,100,20637,eng,stan1293,Meer::N,siː,s i i,si,SI,SV,validate,The physical world,Indo-European,5.09,ron,roma1327,mare,m a r e,mare,MARE,MVRV,validate,The physical world,Indo-European,6.17
19997,en,ro,frost,ger,0.1051540782856316,0.8948175434006171,16.0,0.1647494691342958,0.13558425512502378,3399.934794524462,2798.052273015116,5,100,20637,eng,stan1293,Frost::N,fɹɒst,f ɹ ɒ s t,frost,BROST,PRVST,validate,Sense perception,Indo-European,3.97,ron,roma1327,d͡ʒer,d͡ʒ e r,jer,CER,KVR,validate,Sense perception,Indo-European,3.41
20153,en,ro,hill,movilă,0.1800743080878845,0.8917849240214855,7.0,0.15639286485966966,0.16192303825144602,3227.479552109003,3341.605740395092,4,100,20637,eng,stan1293,Hügel::N,hɪl,h ɪ l,hil,HIL,HVR,validate,The physical world,Indo-European,4.82,ron,roma1327,movilə,m o v i l ə,movil3,MUBILE,MVWVRV,validate,The physical world,Indo-European,0.0
20283,en,ro,north,miazănoapte,0.2406869017165185,0.8636798563491018,16.0,0.15643741845586828,0.16564614523691093,3228.3990046737536,3418.43949925413,8,100,20637,eng,stan1293,Norden::N,nɔːθ,n ɔ ɔ θ,no8,NUD,NVT,validate,Spatial relations,Indo-European,5.35,ron,roma1327,mjazəno̯apte,m j a z ə n o a p t e,myaz3noapte,MJASENUAPTE,MJVSVNVPTV,validate,Spatial relations,Indo-European,3.2
20511,en,ro,hill,deal,0.3578087773911541,0.9156620297744404,31.0,0.15639286485966966,0.14614926730045216,3227.479552109003,3016.082429279432,3,100,20637,eng,stan1293,Hügel::N,hɪl,h ɪ l,hil,HIL,HVR,validate,The physical world,Indo-European,4.82,ron,roma1327,de̯al,d e a l,deal,TEAL,TVR,validate,The physical world,Indo-European,4.31
20514,en,ro,south,miazăzi,0.35910344577905484,0.8729456326844351,9.0,0.15457804532866026,0.1801237273501063,3190.027121447561,3717.2133613241444,7,100,20637,eng,stan1293,Süden::N,saʊθ,s a ʊ θ,sau8,SAYD,SVT,validate,Spatial relations,Indo-European,5.4,ron,roma1327,mjazəzʲ,m j a z ə zʲ,myaz3z,MJASES,MJVSVS,validate,Spatial relations,Indo-European,3.12
20521,en,ro,east,răsărit,0.3645422704982171,0.8997557273918163,14.0,0.1550778967679966,0.16967151825602778,3200.3425556011457,3501.511122249645,5,100,20637,eng,stan1293,Osten::N,iːst,i i s t,ist,IST,VST,validate,Spatial relations,Indo-European,5.18,ron,roma1327,rəsərit,r ə s ə r i t,r3s3rit,RESERIT,RVSVRVT,validate,Spatial relations,Indo-European,4.25
20533,en,ro,west,apus,0.37194454106191904,0.8897934875914322,15.0,0.15578846171747898,0.16053836577172625,3215.006484463613,3313.0302544311157,4,100,20637,eng,stan1293,Westen::N,west,w e s t,west,WEST,WVST,validate,Spatial relations,Indo-European,5.29,ron,roma1327,apus,a p u s,apus,APYS,VPVS,validate,Spatial relations,Indo-European,4.45
20630,en,ro,east,est,0.42687340429256615,0.9290585290740236,35.0,0.1550778967679966,0.14928871118481746,3200.3425556011457,3080.871132721077,1,100,20637,eng,stan1293,Osten::N,iːst,i i s t,ist,IST,VST,validate,Spatial relations,Indo-European,5.18,ron,roma1327,jest,j e s t,yest,JEST,JVST,validate,Spatial relations,Indo-European,4.99
20657,en,ro,north,nord,0.4459168049044425,0.9427512133154914,36.0,0.15643741845586828,0.1667110669714377,3228.3990046737536,3440.4162890895595,2,100,20637,eng,stan1293,Norden::N,nɔːθ,n ɔ ɔ θ,no8,NUD,NVT,validate,Spatial relations,Indo-European,5.35,ron,roma1327,nord,n o r d,nord,NURT,NVRT,validate,Spatial relations,Indo-European,5.16
20702,en,ro,ice,gheață,0.4734277219553775,0.9339117113888468,29.0,0.14920185151915302,0.1756028799809662,3079.078609800761,3623.9166341672,5,100,20637,eng,stan1293,Eis::N,aɪs,a ɪ s,ais,AIS,VS,validate,The physical world,Indo-European,4.96,ron,roma1327,ɡe̯at͡sə,ɡ e a t͡s ə,geac3,KEACE,KVKV,validate,The physical world,Indo-European,4.63
