language,word,meaning,corpus,size,genre,word.count,freq.type,states,mean.roc,sd.roc,fpm,lfpm,clfpm,c.rate,word.type
English,Noun,HUSBAND,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,123,NA,28,4.74,0.03,1.23,0.207014169384326,-2.03552445213185,1.67030768129771,swadesh.word
English,Pronoun,I,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,10241,NA,1,0.09,0.09,102.41,4.62898436408735,2.38644574257117,-2.97969231870229,swadesh.word
English,Noun,ICE,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,41,NA,20,2.58,0.03,0.41,-0.891598119283784,-3.13413674079996,-0.48969231870229,swadesh.word
English,Conj.,IF,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,2369,NA,27,4.32,0.03,23.69,3.16505301817069,0.922514396654516,1.25030768129771,swadesh.word
English,Prep.,IN,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,18214,NA,12,1.78,0.04,182.14,5.20477562213967,2.96223700062349,-1.28969231870229,swadesh.word
English,Verb,TO KILL,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,157,NA,28,3.5,0.03,1.57,0.451075619360217,-1.79146300215596,0.43030768129771,swadesh.word
English,Verb,KNOW (FACTS),"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,1882,NA,13,2.11,0.04,18.82,2.93492013415723,0.692381512641056,-0.95969231870229,swadesh.word
English,Noun,LAKE,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,51,NA,25,3.5,0.03,0.51,-0.673344553263766,-2.91588317477994,0.43030768129771,swadesh.word
English,Verb,TO LAUGH,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,98,NA,13,1.61,0.03,0.98,-0.0202027073175195,-2.2627413288337,-1.45969231870229,swadesh.word
English,Noun,LEAF,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,51,NA,19,2.43,0.03,0.51,-0.673344553263766,-2.91588317477994,-0.63969231870229,swadesh.word
English,Adj.,LEFT (HAND),"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,95,NA,30,4.41,0.03,0.95,-0.0512932943875506,-2.29383191590373,1.34030768129771,swadesh.word
English,Noun,LEG,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,118,NA,25,3.73,0.03,1.18,0.165514438477573,-2.0770241830386,0.66030768129771,swadesh.word
English,Verb,TO LIE (ON SIDE),"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,187,NA,23,3.56,0.03,1.87,0.625938430866495,-1.61660019064968,0.49030768129771,swadesh.word
English,Verb,TO LIVE,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,329,NA,10,1.1,0.04,3.29,1.19088756477728,-1.0516510567389,-1.96969231870229,swadesh.word
English,Noun,LIVER,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,17,NA,17,2.66,0.04,0.17,-1.77195684193188,-4.01449546344805,-0.40969231870229,swadesh.word
English,Adj.,LONG,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,573,NA,12,1.22,0.03,5.73,1.74571553072665,-0.49682309078953,-1.84969231870229,swadesh.word
English,Noun,LOUSE,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,2,NA,12,1.74,0.04,0.02,-3.91202300542815,-6.15456162694432,-1.32969231870229,swadesh.word
English,Noun,MAN (MALE),"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,1003,NA,18,3.38,0.04,10.03,2.30558060197384,0.0630419804576658,0.31030768129771,swadesh.word
English,Adj.,MANY,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,902,NA,32,5.6,0.04,9.02,2.19944433407453,-0.043094287441646,2.53030768129771,swadesh.word
English,Noun,MEAT (FLESH),"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,38,NA,15,1.62,0.03,0.38,-0.967584026261706,-3.21012264777788,-1.44969231870229,swadesh.word
English,Noun,MOUNTAIN,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,68,NA,20,2.75,0.03,0.68,-0.385662480811985,-2.62820110232816,-0.31969231870229,swadesh.word
